datetime,datetime_raw,value,uptimevalue_raw,coverage,coverage_raw,Link Value,Previous Link Value,After Link Value,Status Link,IndexTrue,Selisih,Analisis,Analisis Link Tahap 2,Durasi Hidden Non-Link,Durasi Real Restitusi,Service Level
2017-04-01 00:01:00,42825.70971,2 d 11 h 29 m,214185,1.0,10000,OK,,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 00:06:00,42825.71318,2 d 11 h 34 m,214485,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 00:11:00,42825.71665,2 d 11 h 39 m,214786,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 00:16:00,42825.72012,2 d 11 h 44 m,215086,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 00:21:00,42825.7236,2 d 11 h 49 m,215386,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 00:26:00,42825.72707,2 d 11 h 54 m,215687,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 00:31:00,42825.73054,2 d 11 h 59 m,215987,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 00:36:00,42825.73401,2 d 12 h 4 m,216288,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 00:41:00,42825.73748,2 d 12 h 9 m,216589,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 00:46:00,42825.74096,2 d 12 h 14 m,216889,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 00:51:00,42825.74443,2 d 12 h 19 m,217190,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 00:56:00,42825.7479,2 d 12 h 24 m,217490,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 01:01:00,42825.75137,2 d 12 h 29 m,217791,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 01:06:00,42825.75485,2 d 12 h 34 m,218091,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
